filename,f1_score,precision,recall,TP,FP,TN,FN,best_threshold,prediction_time,delay,total_training_time
02e99bd4f6cfb33f.csv,0.5484281657036529,0.5672609400324149,0.5308056872037915,5600,4272,116973,4950,0.060000000000000005,124.3197865486145,3,824.1233017444611s
046ec29ddf80d62e.csv,0.07684918347742556,0.03996003996003996,1,80,1922,6782,0,0.01,8.656809568405151,3,
07927a9a18fa19ae.csv,0.14193548387096774,0.09850746268656717,0.25384615384615383,33,302,11863,97,0.02,16.626980543136597,3,
09513ae3e75778a3.csv,0.43628509719222464,0.4488888888888889,0.42436974789915966,101,124,131423,137,0.29000000000000004,125.55726647377014,3,
18fbb1d5a5dc099d.csv,0.6275073693292113,0.7217995368838902,0.5550044512272669,4364,1682,122250,3499,0.08,125.13700890541077,3,
1c35dbf57f55f5e4.csv,0.8304506699147381,0.9969293756397134,0.7116167414674878,6818,21,122193,2763,0.25,125.13007879257202,3,
40e25005ff8992bd.csv,0.5343680709534369,0.9717741935483871,0.36850152905198774,241,7,101984,413,0.25,96.97720193862915,3,
54e8a140f6237526.csv,0.8,0.6666666666666666,1,4,2,8296,0,0.27,8.147044658660889,3,
71595dd7171f4540.csv,0.39431616341030196,0.578125,0.2991913746630728,333,243,149713,780,0.14,146.88065147399902,3,
769894baefea4e9e.csv,0.5,1,0.3333333333333333,3,0,8775,6,0.23,8.724321126937866,3,
76f4550c43334374.csv,0.19795221843003413,0.10984848484848485,1,87,705,7992,0,0.02,8.858374834060669,3,
7c189dd36f048a6c.csv,0.6899696048632219,0.978448275862069,0.5328638497652582,227,5,150629,199,0.26,143.8576159477234,3,
88cf3a776ba00e7c.csv,0.605079615738913,0.51168484308925,0.7401802962009015,2299,2194,60171,807,0.04,64.61978387832642,3,
8a20c229e9860d0c.csv,0.8888888888888888,0.8,1,4,1,8779,0,0.28,8.897278547286987,3,
8bef9af9a922e0b3.csv,0.7633410672853829,0.982089552238806,0.6242884250474383,329,6,131467,198,0.26,127.06497645378113,3,
8c892e5525f3e491.csv,0.1413566739606127,0.2172158708809684,0.10476808303600389,323,1164,147518,2760,0.08,144.22501826286316,3,
9bd90500bfd11edb.csv,0.9050632911392406,0.8265895953757225,1,143,30,131622,0,0.26,125.55548119544983,3,
9ee5879409dccef9.csv,0.5283018867924528,0.5671990650564862,0.49439728353140916,1456,1111,61422,1489,0.04,65.39143753051758,3,
a40b1df87e3f1c87.csv,0.9308005427408412,0.9634831460674157,0.9002624671916011,343,13,140418,38,0.24000000000000002,135.03014087677002,3,
a5bf5d65261d859a.csv,0.23481781376518218,0.13302752293577982,1,29,189,131572,0,0.68,125.47933149337769,3,
affb01ca2b4f0b45.csv,0.5906137184115523,0.5106117353308365,0.7003424657534246,409,392,150065,175,0.12,143.50657773017883,3,
b3b2e6d1a791d63a.csv,0.6666666666666666,1,0.5,6,0,8289,6,0.3,8.130358695983887,3,
c58bfcbacb2822d1.csv,0.13793103448275862,0.12048192771084337,0.16129032258064516,20,146,131520,104,0.21000000000000002,124.3039710521698,3,
cff6d3c01e6a6bfa.csv,0.5332488917036099,0.8556910569105691,0.3873045078196872,421,71,149953,666,0.19,143.10123538970947,3,
da403e4e3f87c9e0.csv,0.9700678462152454,0.989685124864278,0.9512131489694756,7292,76,124048,374,0.26,125.57469940185547,3,
e0770391decc44ce.csv,0.13073133762788935,0.09222133119486768,0.22446324007807417,690,6792,141885,2384,0.04,142.0692400932312,3,
,,,,,,,,,,,
best overall threshold : 0.22 best score : 0.5006318181291227,,,,,,,,,,,
